run_id,cell_id,method,dataset,seed,t,controller,reason,urge,thr,factors,mb_before,mr_before,mb_next,mr_next,suggested_new_batch,suggested_replay,suggested_optimizer_mode,plugin_policy,applied_new_batch,applied_replay,applied_optimizer_mode,applied_optional_plugins,replay_requested,replay_occupancy,replay_max_size,predicted_bytes,limit_bytes,guard_reason,enforcement,controller_s,reconfigure_s,plasticity,stability,latency_s,memory_mib,memory_mib_model,plugins,applied
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T042714Z_1547820b,dev/core50_nc/plugin_cost/cost_core50_nc_ewc/0,cost_core50_nc_ewc,core50_nc,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,2,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T043807Z_ed855c65,dev/core50_nc/plugin_cost/cost_core50_nc_gem_ewc/0,cost_core50_nc_gem_ewc,core50_nc,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,2,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045416Z_2e6c108f,dev/splitcifar100/s0_profile/s0_splitcifar100_rep0/0,s0_splitcifar100_rep0,splitcifar100,0,9,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,2,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,3,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,4,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,5,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,6,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,7,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,8,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045539Z_46e01d7e,dev/splitcifar100/s0_profile/s0_splitcifar100_rep1/0,s0_splitcifar100_rep1,splitcifar100,0,9,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045709Z_0b11e29d,dev/splitcifar100/plugin_cost/cost_splitcifar100_b64/0,cost_splitcifar100_b64,splitcifar100,0,0,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness_v3_20260918T045709Z_0b11e29d,dev/splitcifar100/plugin_cost/cost_splitcifar100_b64/0,cost_splitcifar100_b64,splitcifar100,0,1,skipped,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
